 workload,recordtype,operation
DragonCopilot,DragonCopilotAdmin,ViewedOrganization
DragonCopilot,DragonCopilotAdmin,ViewedRoleAssignment
DragonCopilot,DragonCopilotAdmin,ViewedSetting
Dynamics365BusinessCentral,Dynamics365BusinessCentral,AdministeredCompany
Dynamics365BusinessCentral,Dynamics365BusinessCentral,AdministeredEnvironment
Dynamics365BusinessCentral,Dynamics365BusinessCentral,AdministeredReport
Dynamics365BusinessCentral,Dynamics365BusinessCentral,AdministeredUser
Dynamics365BusinessCentral,Dynamics365BusinessCentral,ConfiguredCloudMigration
Dynamics365BusinessCentral,Dynamics365BusinessCentral,ConfiguredExtension
Dynamics365BusinessCentral,Dynamics365BusinessCentral,ConfiguredIntegration
ehrconnector,ehrconnector,addedfhirurl
ehrconnector,ehrconnector,approvedfhirurl
ehrconnector,ehrconnector,createdsms
ehrconnector,ehrconnector,deletedcertificate
ehrconnector,ehrconnector,deletedfhirurl
ehrconnector,ehrconnector,deletedsms
ehrconnector,ehrconnector,disabledcopnsent
ehrconnector,ehrconnector,downloadedcertificate
ehrconnector,ehrconnector,enabledconsent
ehrconnector,ehrconnector,linkedsms
ehrconnector,ehrconnector,unlinkedsms
ehrconnector,ehrconnector,updatedfhirurl
ehrconnector,ehrconnector,updatedsmssettings
ehrconnector,ehrconnector,uploadedcertificate
endpoint,compliancedlpendpoint,dlprulematch
endpoint,compliancedlpendpointdiscovery,sensitiveinfodiscovered
endpoint,dlpendpoint,archivecreated
endpoint,dlpendpoint,fileaccessedbyunallowedapp
endpoint,dlpendpoint,filearchived
endpoint,dlpendpoint,filecopiedtoclipboard
endpoint,dlpendpoint,filecopiedtonetworkshare
endpoint,dlpendpoint,filecopiedtoremotedesktopsession
endpoint,dlpendpoint,filecopiedtoremovablemedia
endpoint,dlpendpoint,filecreated
endpoint,dlpendpoint,filecreatedonnetworkshare
endpoint,dlpendpoint,filecreatedonremovablemedia
endpoint,dlpendpoint,filedeleted
endpoint,dlpendpoint,filedownloadedfrombrowser
endpoint,dlpendpoint,filemodified
endpoint,dlpendpoint,filemoved
endpoint,dlpendpoint,fileprinted
endpoint,dlpendpoint,fileread
endpoint,dlpendpoint,filerenamed
endpoint,dlpendpoint,filetransferredbybluetooth
endpoint,dlpendpoint,fileuploadedtocloud
endpoint,dlpendpoint,pastedtobrowser
endpoint,dlpendpoint,removablemediamount
endpoint,dlpendpoint,removablemediaunmount
endpoint,dlpendpoint,screencaptured
endpoint,dlpendpoint,slimfileprinted
Endpoint,DLPEndpoint,WebpageCopiedToClipboard
endpoint,OpticalCharacterRecognition,OCRTextExtracted
endpoint,wdatpalerts,defenseevasion
endpoint,wdatpalerts,unwantedsoftware
exchange,azureactivedirectorystslogon,userloggedin
exchange,campaign,campaignemaildelivered
exchange,compliancedlmexchange,preservedmailitemproactively
exchange,compliancedlpexchange,autosensitivitylabelrulematch
exchange,compliancedlpexchange,dlprulematch
exchange,compliancedlpexchange,dlpruleundo
Exchange,ComplianceDLPExchange,MailAccessed
exchange,compliancedlpexchange,miplabel
exchange,compliancedlpexchangeclassification,dlpclassification
exchange,compliancedlpsharepoint,dlprulematch
exchange,compliancedlpsharepoint,dlpruleundo
Exchange,ComplianceSupervisionExchange,SupervisionRecommendedUser
exchange,compliancesupervisionexchange,supervisionrulematch
exchange,compliancesupervisionexchange,supervisoryreviewolaudit
exchange,customerkeyserviceencryption,availabilitykeyfallback
exchange,exchangeadmin,add-availabilityaddressspace
exchange,exchangeadmin,add-distributiongroupmember
exchange,exchangeadmin,add-federateddomain
exchange,exchangeadmin,add-graphconnectorgroupmember
exchange,exchangeadmin,add-mailboxfolderpermission
exchange,exchangeadmin,add-mailboxlocation
exchange,exchangeadmin,add-mailboxpermission
exchange,exchangeadmin,add-managementroleentry
exchange,exchangeadmin,add-publicfolderclientpermission
exchange,exchangeadmin,add-recipientpermission
exchange,exchangeadmin,add-rolegroupmember
exchange,exchangeadmin,add-unifiedgrouplinks
exchange,exchangeadmin,apply-exoinformationbarrierpolicy
exchange,exchangeadmin,clear-activesyncdevice
exchange,exchangeadmin,clear-mobiledevice
exchange,exchangeadmin,clear-textmessagingaccount
exchange,exchangeadmin,compare-textmessagingverificationcode
exchange,exchangeadmin,complete-migrationbatch
exchange,exchangeadmin,delete-quarantinemessage
exchange,exchangeadmin,disable-antiphishrule
exchange,exchangeadmin,disable-app
exchange,exchangeadmin,disable-atpevaluationrule
exchange,exchangeadmin,disable-atpprotectionpolicyrule
exchange,exchangeadmin,disable-elevatedaccesscontrol
exchange,exchangeadmin,disable-eopprotectionpolicyrule
exchange,exchangeadmin,disable-hostedcontentfilterrule
exchange,exchangeadmin,disable-hostedoutboundspamfilterrule
exchange,exchangeadmin,disable-inboxrule
exchange,exchangeadmin,disable-journalarchiving
exchange,exchangeadmin,disable-journalrule
exchange,exchangeadmin,disable-mailbox
exchange,exchangeadmin,disable-mailpublicfolder
exchange,exchangeadmin,disable-mailuser
exchange,exchangeadmin,disable-malwarefilterrule
exchange,exchangeadmin,disable-reportsubmissionrule
exchange,exchangeadmin,disable-safeattachmentrule
exchange,exchangeadmin,disable-safelinksrule
exchange,exchangeadmin,disable-sweeprule
